InvoiceNo	StockCode	Quantity	UnitPrice	CustomerID
536408	21210	12	1.45	14307
536408	22914	3	4.95	14307
536408	22553	12	1.65	14307
536408	16237	30	0.21	14307
536408	22714	12	0.42	14307
536408	22812	12	1.95	14307
536408	84347	6	2.55	14307
536408	21587	12	2.55	14307
536408	22736	10	1.65	14307
536408	22492	36	0.65	14307
536408	22620	12	1.25	14307
536408	22619	4	3.75	14307
536408	21705	12	1.65	14307
536409	90199C	3	6.35	17908
536409	21479	1	3.75	17908
536409	22111	1	4.95	17908
536409	22785	1	6.75	17908
536409	22975	1	1.25	17908
536409	22972	1	1.65	17908
536409	22866	1	2.1	17908
536409	22568	1	3.75	17908
536409	85116	1	2.1	17908
536409	22664	1	2.1	17908
536409	21609	1	2.95	17908
536409	21866	1	1.25	17908
536409	20669	1	1.25	17908
536409	90129F	1	2.95	17908
536409	90210B	1	2.95	17908
536409	90199C	1	6.35	17908
536409	21955	1	7.95	17908
536409	72802C	1	4.25	17908
536409	22109	1	3.75	17908
536409	85116	5	2.1	17908
536409	22531	1	0.42	17908
536409	21811	1	1.25	17908
536409	22183	1	6.75	17908
536409	21678	6	0.85	17908
536409	21676	6	0.85	17908
536409	84625A	1	2.95	17908
536409	84625C	3	2.95	17908
536409	21931	2	1.95	17908
536409	85169B	12	1.25	17908
536409	16238	28	0.21	17908
536409	20668	24	0.12	17908
536409	84906	1	5.95	17908
536409	21867	1	1.25	17908
536409	22075	1	1.65	17908
536409	21866	1	1.25	17908
536409	21326	12	0.65	17908
536409	21065	1	5.95	17908
536409	22074	1	1.65	17908
536409	22900	1	2.95	17908
536409	20713	1	1.95	17908
536409	20966	2	1.25	17908
536409	21116	1	4.95	17908
536409	90199C	2	6.35	17908
536409	22633	1	2.1	17908
536409	22866	1	2.1	17908
536409	22198	1	1.65	17908
536409	21824	3	1.45	17908
536409	21823	3	1.45	17908
536409	22153	6	0.42	17908
536409	22197	2	0.85	17908
536409	85099B	2	1.95	17908
536409	85099F	1	1.95	17908
536409	20717	1	1.25	17908
536409	20723	1	0.85	17908
536409	22900	1	2.95	17908
536409	21980	12	0.29	17908
536409	22111	1	4.95	17908
536409	22112	1	4.95	17908
536412	20728	3	1.65	17920
536412	22382	3	1.65	17920
536412	22326	1	2.95	17920
536412	22662	4	1.65	17920
536412	22383	3	1.65	17920
536412	20727	3	1.65	17920
536412	22328	1	2.95	17920
536412	22327	1	2.95	17920
536412	22630	1	1.95	17920
536412	22629	1	1.95	17920
536412	21245	1	1.69	17920
536412	21244	1	1.69	17920
536412	21242	1	1.69	17920
536412	21243	1	1.69	17920
536412	22327	1	2.95	17920
536412	22273	1	2.95	17920
536412	22940	3	4.25	17920
536412	22652	5	1.65	17920
536412	22759	1	1.65	17920
536412	21880	10	0.65	17920
536412	21738	1	2.95	17920
536412	22077	1	1.65	17920
536412	85049E	3	1.25	17920
536412	22961	24	1.45	17920
536412	21448	2	1.65	17920
536412	22837	3	4.65	17920
536412	22749	2	3.75	17920
536412	22940	1	4.25	17920
536412	22749	1	3.75	17920
536412	22077	2	1.65	17920
536412	21738	2	2.95	17920
536412	85049E	1	1.25	17920
536412	22243	6	1.65	17920
536412	22141	1	2.1	17920
536412	22144	2	2.1	17920
536412	22243	3	1.65	17920
536412	22077	7	1.65	17920
536412	21448	1	1.65	17920
536412	22759	5	1.65	17920
536412	22242	5	1.65	17920
536412	85049E	12	1.25	17920
536412	21731	5	1.65	17920
536412	22243	1	1.65	17920
536412	21739	2	2.95	17920
536412	21738	5	2.95	17920
536412	22271	2	2.95	17920
536412	22273	1	2.95	17920
536412	22274	2	2.95	17920
536412	22749	1	3.75	17920
536412	22751	2	3.75	17920
536412	21034	1	0.95	17920
536412	22273	2	2.95	17920
536412	22568	3	3.75	17920
536412	22141	1	2.1	17920
536412	22144	1	2.1	17920
536412	22570	3	3.75	17920
536412	22569	2	3.75	17920
536412	21448	1	1.65	17920
536412	22086	1	2.95	17920
536412	22569	2	3.75	17920
536412	21448	2	1.65	17920
536412	22968	4	9.95	17920
536412	22902	7	2.1	17920
536412	21448	2	1.65	17920
536412	22902	7	2.1	17920
536412	21710	1	4.95	17920
536412	21708	1	4.95	17920
536412	21711	1	4.95	17920
536412	22179	2	6.75	17920
536412	22197	5	0.85	17920
536412	22900	2	2.95	17920
536412	21706	1	4.95	17920
536412	22468	2	6.75	17920
536412	20725	1	1.65	17920
536412	85184C	1	2.95	17920
536412	21708	1	4.95	17920
536412	22900	2	2.95	17920
536412	21706	1	4.95	17920
536412	22988	6	1.25	17920
536412	85184C	1	2.95	17920
536412	20750	1	7.95	17920
536414	22139	56	0	
536415	22952	10	0.55	12838
536415	22910	5	2.95	12838
536415	22739	3	1.65	12838
536415	22738	3	1.65	12838
536415	22736	3	1.65	12838
536415	22909	5	0.85	12838
536415	35591T	2	1.25	12838
536415	22186	5	2.95	12838
536415	22695	3	1.45	12838
536415	22470	1	2.95	12838
536415	22580	1	5.95	12838
536415	22469	5	1.65	12838
536415	22147	4	1.45	12838
536415	22130	6	0.85	12838
536415	21791	3	1.25	12838
536415	22694	5	2.1	12838
536415	21790	3	0.85	12838
536415	22149	4	2.1	12838
536415	22900	3	2.95	12838
536415	22961	3	1.45	12838
536415	22321	12	0.85	12838
536415	22594	5	0.85	12838
536415	22593	4	0.85	12838
536415	22595	6	0.85	12838
536415	21986	12	0.29	12838
536415	22750	2	3.75	12838
536415	22616	12	0.29	12838
536415	22775	1	1.25	12838
536415	22899	2	2.1	12838
536415	22367	3	1.95	12838
536415	22942	3	8.5	12838
536415	22941	3	8.5	12838
536415	22086	6	2.95	12838
536415	22940	2	4.25	12838
536415	21212	2	0.55	12838
536415	21976	2	0.55	12838
536415	22951	2	0.55	12838
536415	21977	3	0.55	12838
536415	22834	3	2.1	12838
536415	22867	3	2.1	12838
536415	22865	3	2.1	12838
536415	22632	3	2.1	12838
536415	21916	2	0.42	12838
536415	22587	4	0.85	12838
536415	22566	3	0.85	12838
536415	22565	3	0.85	12838
536415	22472	2	4.95	12838
536415	22557	3	1.65	12838
536415	22551	3	1.65	12838
536415	22554	3	1.65	12838
536415	22534	3	0.42	12838
536415	22531	3	0.42	12838
536415	22529	3	0.42	12838
536415	22530	3	0.42	12838
536415	84032B	3	2.95	12838
536415	22837	3	4.65	12838
536415	85049H	2	1.25	12838
536415	22749	2	3.75	12838
536415	22807	12	2.95	12838
536416	21494	12	1.25	13255
536416	21915	72	1.25	13255
536416	22938	12	1.95	13255
536416	22768	4	9.95	13255
536416	22767	4	9.95	13255
536416	82494L	6	2.95	13255
536420	21889	12	1.25	16583
536420	21892	12	1.25	16583
536420	21891	12	1.25	16583
536420	21890	6	2.95	16583
536420	21718	12	1.25	16583
536420	21716	8	2.55	16583
536420	21715	8	2.55	16583
536420	22113	4	3.75	16583
536420	22111	3	4.95	16583
536420	22110	6	2.55	16583
536420	22358	6	2.95	16583
536420	22357	4	4.25	16583
536420	22115	6	2.95	16583
536420	22969	12	1.45	16583
536423	22619	4	3.75	18085
536423	21481	6	2.95	18085
536423	22632	12	2.1	18085
536423	22837	8	4.65	18085
536423	21479	8	3.75	18085
536423	21485	8	4.95	18085
536423	84029E	8	3.75	18085
536423	22111	16	4.95	18085
536423	22113	8	3.75	18085
536425	22837	8	4.65	13758
536425	22585	12	1.25	13758
536425	79321	8	4.95	13758
536425	22637	12	2.55	13758
536425	21556	6	2.55	13758
536425	22646	12	1.45	13758
536425	22644	12	1.45	13758
536425	22645	12	1.45	13758
536425	22650	12	1.45	13758
536425	22508	8	3.75	13758
536425	21411	3	4.25	13758
536425	22511	4	3.75	13758
536425	22451	6	3.35	13758
536425	22449	6	3.35	13758
536425	22768	2	9.95	13758
536425	22829	2	9.95	13758
536425	22961	12	1.45	13758
536437	21154	200	1.06	13694
536437	22189	72	3.39	13694
536437	17021	600	0.24	13694
536437	22059	48	1.25	13694
536437	22188	36	3.39	13694
536437	84678	48	1.25	13694
536446	85172	32	0.42	15983
536446	22142	2	1.45	15983
536446	22144	2	2.1	15983
536446	21591	6	1.25	15983
536446	22480	12	1.25	15983
536446	22294	48	1.25	15983
536446	21156	1	1.95	15983
536446	10133	5	0.85	15983
536446	72800E	6	2.55	15983
536446	22294	24	1.25	15983
536446	84836	12	1.25	15983
536446	20774	2	1.65	15983
536446	20773	2	1.65	15983
536446	20777	2	1.65	15983
536446	16016	10	0.85	15983
536446	16014	10	0.42	15983
536446	21890	2	2.95	15983
536446	21891	2	1.25	15983
536446	22619	8	3.75	15983
536446	22620	6	1.25	15983
536446	84347	12	2.55	15983
536446	85169B	24	1.25	15983
536446	21156	3	1.95	15983
536446	21651	6	1.65	15983
536446	21651	6	1.65	15983
536446	84625C	10	2.95	15983
536446	22618	2	9.95	15983
536446	21586	4	2.55	15983
536446	21587	4	2.55	15983
536446	22152	24	0.42	15983
536446	85172	16	0.42	15983
536446	84754	24	1.25	15983
536460	22670	12	1.25	14849
536460	21586	12	2.55	14849
536460	84992	24	0.55	14849
536460	84879	24	1.69	14849
536460	84849B	12	1.69	14849
536460	22927	2	5.95	14849
536460	22926	4	5.95	14849
536460	22925	2	5.95	14849
536460	21977	24	0.55	14849
536460	21485	6	4.95	14849
536460	21484	8	3.45	14849
536460	21259	2	5.95	14849
536460	21257	2	7.95	14849
536460	21121	24	1.25	14849
536463	82552	12	1.45	14849
536464	90200B	2	4.25	17968
536464	90059B	2	1.65	17968
536464	90185C	2	4.25	17968
536464	90059E	3	1.65	17968
536464	90059C	1	1.65	17968
536464	90200C	1	4.25	17968
536464	90200D	3	4.25	17968
536464	90200A	1	4.25	17968
536464	22386	1	1.95	17968
536464	85099B	1	1.95	17968
536464	84879	8	1.69	17968
536464	22086	1	2.95	17968
536464	22737	1	1.65	17968
536464	21260	1	3.25	17968
536464	22744	2	2.95	17968
536464	21985	1	0.29	17968
536464	21980	1	0.29	17968
536464	22988	1	1.25	17968
536464	22297	1	1.25	17968
536464	22294	1	1.25	17968
536464	22295	1	1.65	17968
536464	22813	2	1.95	17968
536464	22812	6	1.95	17968
536464	22197	5	0.85	17968
536464	21977	1	0.55	17968
536464	22619	1	3.75	17968
536464	16258A	1	0.42	17968
536464	21992	1	2.95	17968
536464	22910	1	2.95	17968
536464	21124	1	1.25	17968
536464	22735	2	1.65	17968
536464	22952	2	0.55	17968
536464	22945	6	0.85	17968
536464	21816	2	1.45	17968
536464	21815	4	1.45	17968
536464	21814	2	1.45	17968
536464	10125	2	0.85	17968
536464	22810	1	2.95	17968
536464	22573	1	0.85	17968
536464	22577	1	0.85	17968
536464	22603	2	0.85	17968
536464	22809	1	2.95	17968
536464	20878	1	1.25	17968
536464	20866	1	1.25	17968
536464	85095	1	1.95	17968
536464	22333	1	1.65	17968
536464	22557	1	1.65	17968
536464	21584	1	1.65	17968
536464	22866	1	2.1	17968
536464	22731	2	1.25	17968
536464	22866	1	2.1	17968
536464	22866	3	2.1	17968
536464	22558	2	1.49	17968
536464	22956	1	2.1	17968
536464	22945	6	0.85	17968
536464	22582	1	2.55	17968
536464	21212	1	0.55	17968
536464	21212	2	0.55	17968
536464	22585	3	1.25	17968
536464	21121	1	1.25	17968
536464	21122	1	1.25	17968
536464	22759	1	1.65	17968
536464	21815	1	1.45	17968
536464	85231B	3	0.85	17968
536464	85231G	5	0.85	17968
536464	22082	5	1.65	17968
536464	22500	2	4.95	17968
536464	22742	1	2.95	17968
536464	21329	1	1.65	17968
536464	21328	1	1.65	17968
536464	21327	1	1.65	17968
536464	21992	1	2.95	17968
536464	21738	1	2.95	17968
536464	48173C	1	7.95	17968
536464	85099C	1	1.95	17968
536464	22960	1	4.25	17968
536464	85231G	1	0.85	17968
536464	85231B	2	0.85	17968
536464	22866	1	2.1	17968
536464	72818	1	0.85	17968
536464	21814	8	1.45	17968
536464	22441	1	2.1	17968
536464	22312	1	2.95	17968
536464	22197	6	0.85	17968
536464	22663	1	1.95	17968
536466	22960	6	4.25	14849
536466	22961	12	1.45	14849
536477	21314	48	1.85	16210
536477	84029E	24	3.39	16210
536477	21137	480	3.39	16210
536477	22041	48	2.1	16210
536477	20979	16	1.25	16210
536477	20977	16	1.25	16210
536477	22619	4	3.75	16210
536477	22571	96	0.72	16210
536477	22595	144	0.72	16210
536477	22593	144	0.72	16210
536477	22633	12	2.1	16210
536477	22632	12	2.1	16210
536477	22423	16	10.95	16210
536477	22411	10	1.95	16210
536488	22738	5	1.65	17897
536488	21621	1	8.5	17897
536488	22960	8	4.25	17897
536488	22082	5	1.65	17897
536488	47563A	1	3.75	17897
536488	84558A	1	2.95	17897
536488	21592	1	1.25	17897
536488	20878	2	1.25	17897
536488	84347	1	2.55	17897
536488	84347	1	2.55	17897
536488	21577	1	2.25	17897
536488	22909	1	0.85	17897
536488	22087	1	2.95	17897
536488	22651	2	0.85	17897
536488	22713	12	0.42	17897
536488	22910	1	2.95	17897
536488	21370	2	6.35	17897
536488	21367	1	2.55	17897
536488	22376	1	4.25	17897
536488	22961	1	1.45	17897
536488	21895	1	4.25	17897
536488	22468	1	6.75	17897
536488	21034	1	0.95	17897
536488	22372	1	4.25	17897
536488	22867	1	2.1	17897
536488	22144	1	2.1	17897
536488	21190	1	1.65	17897
536488	21894	3	1.25	17897
536488	70007	3	1.65	17897
536488	22940	1	4.25	17897
536488	70007	1	1.65	17897
536488	84347	3	2.55	17897
536488	22150	1	1.95	17897
536488	22149	2	2.1	17897
536488	22144	2	2.1	17897
536500	21622	10	4.95	17377
536500	46000M	10	1.55	17377
536500	22630	2	1.95	17377
536500	22616	12	0.29	17377
536500	22712	12	0.42	17377
536500	22983	12	0.42	17377
536500	22024	12	0.42	17377
536500	22113	3	3.75	17377
536500	84029E	2	3.75	17377
536500	21488	2	3.95	17377
536500	22900	7	2.95	17377
536500	22895	3	2.95	17377
536500	21035	3	2.95	17377
536500	21755	6	5.95	17377
536500	21754	6	5.95	17377
536502	84879	16	1.69	16552
536502	22784	3	4.95	16552
536502	21441	12	0.85	16552
536502	85123A	6	2.95	16552
536502	22423	2	12.75	16552
536508	84947	72	1.06	17181
536508	21326	144	0.55	17181
C536506	22960	-6	4.25	17897
536514	22865	36	2.1	17951
536514	22485	4	12.75	17951
536514	22807	6	2.95	17951
536514	22633	36	2.1	17951
536514	22866	36	2.1	17951
536520	21794	1	6.75	14729
536520	20707	1	1.25	14729
536520	21175	1	2.1	14729
536520	22926	1	5.95	14729
